Paper,Authors,Affiliation,DOI,Date,Venue,Goal,Research Questions,Key Findings,Future Work,Scope from our taxonomy,SDLC stage from waterfall,Context,Eligibility score
AI-Powered Chatbots and the Transformation of Work: Findings from a Case Study in Software Development and Software Engineering,"Thomas Süße, Maria Kobert, Simon Grapenthin, Bernd-Friedrich Voigt",Academia,https://doi.org/10.1007/978-3-031-42622-3_49,2023,PRO-VE 2023,"To explore the transformative effects of AI-powered chatbots, like ChatGPT and GitHub Copilot, in software development by analyzing how employees adapt to these tools and the emerging AI-related coping patterns necessary for effective collaboration.","1. How do AI-powered chatbots impact software development workflows?
2. What cognitive, emotional, and social coping patterns are necessary for successful AI-human collaboration?
3. What role do AI-related competencies play in these interactions?","1. Identified 14 distinct coping patterns categorized into cognitive, emotional, and social dimensions.
2. Developers benefit from understanding how AI functions, including task division and reflecting on AI outputs.
3. Emotional adaptations include viewing AI as a colleague and being open to technological change.
4. Social adjustments emphasize ethical standards and effective communication with AI agents.","1. Broaden empirical studies across diverse industries and roles to validate findings.
2. Further refine the AI competency framework to guide AI implementation in various work settings.
3. Develop interventions to support employees’ skill-building in AI competencies for sustainable human-AI collaboration.",Impact,Unspecified,Professional,3
An Analysis of the Costs and Benefits of Autocomplete in IDEs,"Shaokang Jiang, Michael Coblenz",Academia,https://doi.org/10.1145/3580435,2024,Proceedings of the ACM on Software Engineering,"The goal of this paper is to evaluate the costs and benefits of autocomplete in IDEs, particularly in terms of programmer productivity, learning, and documentation usage.","RQ1: Does autocomplete affect how productive developers are?
RQ2: How does autocomplete usage affect how much developers learn about APIs?
RQ3: How does autocomplete usage affect the time spent reading the documentation?
RQ4: How does autocomplete usage affect the number of keystrokes programmers enter?","1. Autocomplete significantly reduced the time participants spent reading documentation, but did not significantly reduce the total number of keystrokes required to complete the tasks.
2. Autocomplete significantly improved participants' learning of the API, as measured by their quiz scores.
3. The benefits of autocomplete were comparable to 7-15 years of programming experience.","1) Investigating how the results apply to other programming languages beyond Java
2) Studying the benefits of autocomplete in longer-term, longitudinal settings beyond the limited scope of this study
3) Comparing the benefits of autocomplete for professional programmers versus students
4) Examining the implications of autocomplete for APIs that are familiar versus unfamiliar to users
5) Utilizing more advanced eye tracking capabilities to collect richer data and insights, such as by analyzing fixations rather than just raw gaze data",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
An Empirical Evaluation of GitHub Copilot's Code Suggestions,"Nhan Nguyen, Sarah Nadi",Academia,https://doi.org/10.1145/3524842.3528470,2022,MSR'22,The goal of this paper is to empirically evaluate the correctness and understandability of the code suggestions generated by GitHub Copilot.,"RQ1: How correct are Copilot’s code suggestions?
RQ2: How understandable is the code provided by Copilot?","1. Copilot’s correctness (passing all tests) varies by language, with Java as highest (57%) and JavaScript lowest (27%).
2. The median cognitive complexity and cyclomatic complexity of Copilot solutions is 6 and 5, respectively, with no statistically significant differences between languages.","1. Conducting a larger-scale study with more queries to better evaluate Copilot's capabilities.
2. Gaining more insight into Copilot's internal model and training data to better understand its performance.
3. Evaluating Copilot's behavior in less ideal situations, such as with less-than-ideal query contexts, and assessing its other capabilities beyond just converting comments to code.",Quality,Unspecified,Professional,3.5
"An Empirical Study of Code Search in Intelligent Coding Assistant: Perceptions, Expectations, and Directions","Chao Liu, Xindong Zhang, Hongyu Zhang, Zhiyuan Wan, Zhan Huang, Meng Yan","Academia, Industry",https://doi.org/10.1145/3663529.3663848,2024,FSE Companion'24,"The goal of this paper is to conduct a comprehensive empirical investigation into the code search capability of the TONGYI Lingma coding assistant developed by Alibaba Cloud, and to provide insights and future directions for both researchers and practitioners in the area of code search.","RQ1: Which code search task is frequently used?  
RQ2: What are the characteristics of queries?  
RQ3: How many search results are commonly viewed by developers?  
RQ4: What are developers’ perceptions on the code search in practice?  
RQ5: What are developers’ purposes of code search?  
RQ6: What are developers’ expected code search inputs?  
RQ7: What are developers’ expected extensions on the codebase?  
RQ8: What are developers’ expected search results?  
RQ9: Code Search vs. ChatGPT.","Finding 1: Semantic search has higher usage than API search, with 40% of users using both together. For effective support, code search tools need to consistently yield practical, relevant results.

Finding 2: User queries are generally short, though users may enter longer queries by following tool recommendations or copying runtime logs for debugging. In semantic search, using the local language (e.g., Chinese) benefits non-English speakers.

Finding 3: Users typically limit their exploration to the first page of search results, with key results often appearing around the second rank.

Finding 4: Experienced developers use code search less frequently but expect it to be highly effective when needed. While semantic search is more commonly used, it can be less effective due to the difficulty of forming precise queries.

Finding 5: Developers rely on code search tools to implement requirements, understand examples, and fix bugs. They expect concise, representative results relevant to thei","1. Investigate the role of code search in the entire software development lifecycle.
2. Develop benchmarks and models that address specific search requirements, bridging gaps between academia and industry.
3. Design targeted test cases for automated validation, similar to the HumanEval benchmark for code generation.
4. Explore methods to adapt search results more effectively to the intended coding context.","Impact, Other",Unspecified,Professional,3.5
An Empirical Study on Usage and Perceptions of LLMs in a Software Engineering Project,"Sanka Rasnayaka, Guanlin Wang, Ridwan Shariffdeen, Ganesh Neelakanta Iyer",Academia,https://doi.org/10.1145/3643795.3648379,2024,LLM4Code'24,The goal of the study is to explore the usefulness of Large Language Models (LLMs) for software development projects in an academic setting.,"1. What are the possible uses and benefits of using LLMs in software engineering projects?
2. What are the perceptions and attitudes of computer science students towards using LLMs for software development?
3. What are the specific use cases and benefits of using LLMs in different stages of the software development lifecycle?","1. LLMs can play a crucial role in the early stages of software development, especially in generating foundational code structures, and helping with syntax and error debugging.
2. The adoption of LLMs varied depending on the students' coding skills and prior experience with AI generators, indicating a learning curve in using these tools effectively.
3. There was no significant difference in the correctness and quality of developed software between teams with heavy and no AI usage, indicating that with proper human intervention, the use of AI tools does not inherently compromise the quality and correctness of code.","1. Developing better training and support mechanisms to help students and software engineers effectively leverage LLMs, especially those with lower coding skills or less experience with AI tools.
2. Conducting a more comprehensive data collection process to better understand the impact of LLMs on code quality and correctness, as the current study was limited by incomplete data.
3. Expanding the scope of the study to include a larger and more diverse sample of participants, as well as exploring the use of LLMs in industry settings where additional constraints and considerations may arise.",Impact,Unspecified,Educational,3.5
An Exploratory Study on Upper-Level Computing Students' Use of Large Language Models as Tools in a Semester-Long Project,"Ben Arie Tanay, Lexy Arinze, Siddhant S Joshi, Kirsten A Davis, James C Davis",Academia,DOI 10.18260/1-2--46557,2024,ASEE Annual Conference & Exposition,The goal of this study is to explore how upper-level computing students use large language models (LLMs) as tools in a semester-long software engineering project.,"RQ1: How do students integrate LLMs into coursework when policies allow unrestricted access? 
RQ2: How does the use of LLMs influence students' perceptions of their learning?","1. Students used LLMs for a variety of tasks in their software engineering project, including programming support, idea generation, writing support, and project management.
2. Students perceived both benefits and drawbacks to using LLMs in their learning. With LLMs facilitating self-sufficiency, knowledge acquisition, and solution implementation. But also raising concerns about knowledge retention, prerequisite knowledge, and over-relying on LLMs.","1. Investigating how the use of LLMs influences the learning abilities of students, especially those earlier in the computer engineering curriculum (e.g., freshman and sophomore level courses).
2. Exploring how LLMs can be safely integrated into lower-level courses without negatively impacting student learning outcomes.
3. Studying student interactions with LLMs like ChatGPT as a source of feedback to improve courses and understand how LLM use impacts student work and learning outcomes.",Impact,Unspecified,Educational,3.5
Analyzing Prompt Influence on Automated Method Generation: An Empirical Study with Copilot,"Ionut Daniel Fagadau, Leonardo Mariani, Daniela Micucci, Oliviero Riganelli, Oliviero Rig",Academia,https://doi.org/10.1145/3643916.3644409,2024,ICPC'24,"The goal of this paper is to systematically investigate the influence of eight prompt features on the style, content, correctness, complexity, size, and similarity to developers' code of the code generated by the Copilot AI assistant.","RQ1 - How do prompt features impact on the correctness of the code generated by Copilot? 
RQ2 - How do prompt features impact on the complexity of the code generated by Copilot? 
RQ3 - How do prompt features impact on the similarity between the code generated by Copilot and the code implemented by the developers?","1. Including a summary of the purpose of the method and including examples in the prompt are particularly useful to obtain code that passes the available test cases.
2. Some stylistic rules, such as using the present tense, may also have a positive impact on the correctness of the generated code.
3. Including other information like boundary cases and contextual information in the prompts had no significant effect on the level of correctness of the results, and including excessive information may even have a negative effect.","1. Widening the study to consider conversations between developers and generative AI tools, not just individual interactions.
2. Extending the analysis to other generative AI tools beyond Copilot, to investigate how generalizable the results about prompt engineering are across different solutions.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Ansible Lightspeed: A Code Generation Service for IT Automation,"Priyam Sahoo, Saurabh Pujar, Ganesh Nalawade, Richard Gebhardt, Louis Mandel, Luca Buratti",Industry,https://doi.org/10.1145/3691620.3695277,2024,ASE'24,"The goal of the paper is to analyze the usage and effectiveness of the Ansible Lightspeed code completion service, with the aim of determining if users find the service useful and how it can be improved to better fit user needs.","1. When do users use Ansible Lightspeed?
2. Do users continue to use the service after trying it once?
3. Do users modify accepted suggestions?
4. At what rate do users accept suggestions?
5. Why do users edit module names in accepted suggestions?","1. Users primarily make requests on weekdays, with reduced usage on weekends and holidays, suggesting work-related use.
2. Retention drops from 44.79% on Day 1 to 13.66% by Day 30. Approximately 36.5% are returning users.
3. 18.16% of accepted suggestions are later deleted, and 6.62% are heavily modified.
4. The initial acceptance rate is 65.9%, but this decreases to a Strong Acceptance rate of 49.1% after considering modifications.
5. Users often edit suggestions to remove Fully Qualified Class Names (FQCN) based on preference, reorganize YAML, or modify implementations to fit their preferred coding style.","1. Generating multiple suggestions for each prompt to better account for user preferences and the fact that there may be multiple valid ways to implement a task.
2. Expanding the capabilities of the model to generate entire Ansible playbooks or sequences, rather than just individual tasks, to reduce the need for users to manually reorganize and add missing details.
3. Developing capabilities for Ansible code explanation, debugging, and customization for specific users.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking,"Jacob Penney, João Felipe Pimentel,  0000, Igor Steinmacher, Marco A Gerosa",Academia,https://doi.org/10.1007/978-3-031-54975-5_12,2024,CONVERSATIONS 2023,The goal of this paper is to understand instructors' expectations of a conversational agent's capabilities in effectively facilitating the acquisition of computational thinking skills.,What are instructors' expectations of a programming conversational agent intended to scaffold computational thinking?,"1. Instructors expect the conversational agent to guide students stepwise through the development of algorithms in natural language, rather than just providing solutions, and to tailor its responses based on the student's educational background and knowledge.
2. Instructors expect the agent to be able to explain things in the environment that the student might be confused about, such as problem statements, code snippets, diagnostics, and underlying algorithms and concepts, using diverse means like visualization.
3. Instructors want the agent to collect information about the student's educational history, field of study, doubts/struggles, and abilities, in order to tailor its responses and provide personalized guidance.","1. Conducting a design fiction study with student populations to understand their perspectives and expectations of a conversational agent for computational thinking.
2. Performing Wizard of Oz experiments to classify student intentions and how they are expressed in dialogue, to inform the design of the conversational agent.
3. Designing and prototyping the implementation of the conversational agent, building on the insights gained from the instructor interviews in this paper.",Impact,Unspecified,Educational,3.5
Are Prompt Engineering and TODO Comments Friends or Foes? An Evaluation on GitHub Copilot,"David Obrien, Sumon Biswas, Sayem Mohammad Imtiaz, Rabe Abdalkareem, Emad Shihab, Hridesh Rajan",Academia,https://doi.org/10.1145/3597503.3639176,2024,ICSE'24,"The goal of this paper is to evaluate the impact of including TODO comments in prompts for the code generation tool GitHub Copilot, and to investigate whether Copilot can be used to automatically repay the technical debts described in these TODO comments.","RQ1: Does the presence of TODO comments impact the quality of GitHub Copilot’s generated code? 
RQ2: Can GitHub Copilot generations address developer-written TODO comments? 
RQ3: Can TODO comments be modified to enhance prompts that lead to generated code addressing the specified issues?","1. Code generative tools can replicate their training data, with 35.36% of the 380 TODO comments in our study having their issues reproduced when directly included in prompts.
2. Code generative tools can reproduce TODO comments and their issues without explicit instructions.
3. 21.57% of TODO comment issues were resolved in the generated code, based solely on information from the developer-written docstring.
4. Themes such as defect-handling, additional support, and improved assumptions indicate areas where code generative tools can help mitigate TODO comment issues.
5. Omitting “TODO” from comments allows code generative tools to address an additional 10.53% of comments, suggesting the potential of preprocessing to assist with TODO technical debt repayment.","1) Investigating how code generation tools like Copilot can assist with software maintenance and evolution, and how developers interact with and modify the generated code.
2) Evaluating the quality of the code generated by Copilot, beyond just whether it addresses the TODO comments.
3) Exploring how TODO comments and the corresponding code change over time, and how code generation tools can assist with software evolution.",Quality,Requirement: Is a description of a system behavior to be developed.,Professional,4
Assessing the quality of GitHub copilot’s code generation,"Burak Yetistiren, Isik Ozsoy, Eray Tuzun",Academia,https://doi.org/10.1145/3558489.3559072,2022,PROMISE'22,"The goal of this paper is to systematically evaluate the quality of code generated by GitHub Copilot, a new AI-powered code generation tool, in terms of validity, correctness, and efficiency. The authors also aimed to evaluate the impact of the quality and variety of input parameters provided to GitHub Copilot on the generated code quality.","RQ1 What is the quality of the code generated by GitHub Copilot? 
RQ1.1 How valid are GitHub Copilot’s code suggestions? 
RQ1.2 How correct are GitHub Copilot’s code suggestions? 
RQ1.3 How efficient are GitHub Copilot’s code suggestions? 
RQ2 What is the effect of using docstrings on the generated code quality? 
RQ3 What is the effect of using appropriate function names on the generated code quality?","GitHub Copilot is capable of generating valid code 9 out of 10 times.
Without the supervision of a programmer, GitHub Copilot has a lower chance of generating correct code; however, with additional input from the programmer, the correctness of the generated code can be improved.
There is no significant difference in terms of code efficiency between the code generated by GitHub Copilot and a human programmer.
While employing GitHub Copilot, the utilization of proper explanations of the given problem is important in terms of acquiring correct and valid code.
Choosing a meaningful name for a given function positively affects GitHub Copilot’s performance in terms of generating a correct and valid code.","Increase the number of problems and diversify the coverage and the difficulty level of problem scenarios.
Increase the number of unit tests for each problem.
Assess the code quality of GitHub Copilot using maintainability and reliability metrics.",Quality,"Coding: In this phase the whole requirements will be converted to the production environment., Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,3.5
Better Together? An Evaluation of AI-Supported Code Translation,"Justin D Weisz, Michael Muller, Steven I Ross, Fernando Martinez, Ibm Argentina, Argentina Stephanie Houde, Mayank Agarwal, John T Richards, Stephanie Houde, Kartik Talamadupula",Industry,https://doi.org/10.1145/3490099.3511157,2022,IUI'22,"The goal of this paper is to empirically examine whether imperfect AI-generated code translations can provide benefits to software engineers conducting code translation tasks, and to understand how the quality and quantity of AI translations impact the work process and outcomes.","RQ1: Efficacy of AI support. Are software engineers more effective in translating code from one programming language to another when given access to AI-produced translations? How do the quantity and quality of AI translations affect their work? Are they able to improve upon the quality of imperfect translations? 
RQ2: Impact on work process. How does the presence of AI translations affect the code translation work process? Does working with AI-produced translations make the translation task easier? 
RQ3: Benefits & drawbacks. How do software engineers perceive working with AI-produced code?","1. Software engineers were more effective in translating code from Java to Python when given access to AI-produced translations, as evidenced by lower error rates and a higher proportion of correctly implemented methods in their translations.
2. The quality and quantity of AI translations affected the work process, with multiple translations leading to higher frustration and mental demand for participants.
3. Participants found the AI translations useful and helpful in completing the translation task, even though they recognized the errors present within them.","1. Exploring the tradeoffs between the quality of the generative model's output and the quality of the human-AI collaboration.
2. Evaluating user interface designs that help people effectively browse, compare, and manage multiple translation alternatives from a generative code model
3. Investigating how to build appropriate trust between people and generative code models
4. Exploring ways to make generative code models more explainable and interpretable to users.",Impact,"Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,3.5
